,No,Comment,Class
950,951,❤️ ❤️ ❤️ ❤️ ❤️❤️❤️❤️﻿,0
426,427,Great music anyway﻿,0
690,691,nice ..very nice﻿,0
544,545,plz check out fablife / welcome to fablife for diys and challenges so plz  subscribe thx!﻿,1
1218,1219,Love the way you lie - Driveshaft﻿,0
674,675,I loved this song when I was in my teenage years!﻿,0
689,690,"COME AND CHECK OUT MY NEW YOUTUBE CHHANEL, GOING TO BE POSTING DAILY!﻿",1
1146,1147,im still watching in 2015﻿,0
1272,1273,"Check out this video on YouTube: <a href=""http://www.youtube.com/user/jlimvuth"">http://www.youtube.com/user/jlimvuth</a> ... Eminem ft Rihanna - Love the way you lie﻿",1
159,160,Love it,0
1036,1037,"Since she is a feminist champion, why would she want to reinforce the  stereotype of girls being girly by painting the nails of an elephant that  probably wouldn't even appreciate it?﻿",0
257,258,"You guys should check out this EXTRAORDINARY website called ZONEPA.COM . You can make money online and start working from home today as I am! I am making over $3,000+ per month at ZONEPA.COM ! Visit Zonepa.com and check it out! How does the burst render the symptomatic bite? The knowledge briefs the narrow thought. How does the eager sky transmit the crush?",1
997,998,EVERYBODY PLEASE VOTE KATY AT EMA 2014 !!!!!  Best song  Best female Best pop Best live Best look  Best video  PLEASE VOTE KATY !!!!! PLEASE PLEASE PLEASE !!!!! VOTE VOTE VOTE !!!!! KATY KATY KATY !!!!!﻿,1
335,336,just for test I have to say murdev.com,1
1046,1047,like me﻿,0
15,16,Earn money for being online with 0 efforts!    bit.ly\14gKvDo,1
515,516,Love this song makes me wanna dance! ﻿,0
324,325,Hey everyone check out my channel leave a like and subscribe please and if there is a song you want me to do post the name in the comments and I will get on to it(: Thanks,1
768,769,"C'mon Katy you are so close to 14,000,000 subscribers...come up with  another hit like this and it will happen﻿",0
607,608,Check out this video on YouTube:﻿,1
1144,1145,Suscribe my channel please﻿,1
1027,1028,Check me out I'm all about gaming ﻿,1
1208,1209,I love shakira<br />❤❤❤❤﻿,0
222,223,could you guys please check out my channel for hiphop beats?,1
179,180,"Hey Music Fans I really appreciate any of you who will take the time to read this, and check my music out! I&#39;m just a 15 year old boy DREAMING of being a successful MUSICIAN in the music world. I do lots of covers, and piano covers. But I don&#39;t have money to advertise. A simple thumbs up to my comment, a comment on my videos or a SUBSCRIPTION would be a step forward! It will only be a few seconds of your life that you won&#39;t regret!!! Thank u to all the people who just give me a chance! :)",1
906,907,waka waka﻿,0
99,100,i like and love so much people all friends..... I love Shakira ^^,0
836,837,still.. this reminds me of 1 years back when i was do shuffle everyday﻿,0
757,758,Love your songs<br />Supper cool<br />﻿,0
521,522,katy perry will u sit on my face please. it would be really awesome and  i'll give you 5 dollars. ok if you want to do this then please call me and  subscribe to my channel first ok thats good and then u sit on my face and  ill get an erection then you sit more k?﻿,1
761,762,"cool song check out my animal trafficking petition.<br /><a href=""http://www.thepetitionsite.com/387/433/550/stop-animal-trafficking/?cid=headerClick"">http://www.thepetitionsite.com/387/433/550/stop-animal-trafficking/?cid=headerClick</a>﻿",1
22,23,"Hi there, have you heard about DribbleProShot? Just do a search on Google. On their web site you can watch a smart free video featuring the best way to significantly boost your football aka soccer skills in no time... It turned Nick into a much better football or soccer player...His team mates were definitily amazed! I hope it will help you also...",1
356,357,one of the BEST SONGS in music history﻿,0
733,734,Plizz withing my channel ﻿,1
1079,1080,"''Little Psy, only 5 months left.. Tumor in the head :( WE WILL MISS U &lt;3﻿",0
1204,1205," Hey everyone!! I have just started my first YT channel i would be grateful  if some of you peoples could check out my first clip in BF4! and give me  some advice on how my video was and how i could improve it. ALSO be sure to  go check out the about to see what Im all about. Thanks for your time :) .  and to haters... You Hate, I WIN﻿",1
611,612,Check out this playlist on YouTube:m﻿,1
1106,1107,"Hey I think I know what where dealing with here!!!! I have some theories of  how this could've gotten 2billion hits!! 1. This was mabey made in korea and its realy popular there so they were  stuck watching this over and over again. 2. Over 2billion people have access to the Internet, including youtube, and  the numbers are rising, by 2017 half of the populatoin will be connected. 3. Hackers In Korea may have loved it so much they rised it to 2billion  hits to make it more popular.  4. The song was featured in a just dance game, on multiple mp3s, and been  seen on concerts and even on new years eve event in 2012, so just by seeing  those you mabey adding more hits to this video. 5. You are complaining to much on how the heck this has 2b hits.﻿",0
340,341,The best song ever!﻿,0
431,432,wierd but funny﻿,0
918,919,OPPA GANGNAM STYLE!!!﻿,0
217,218,CHECK OUT MY YOUTUBE VIDEOS FOR FUNNY AND COOL RAP,1
203,204,Check Out The New Hot Video By Dante B Called Riled Up,1
1047,1048,Check out my covers I have a video coming out  please subscribe﻿,1
1058,1059,Who is still watching in 2015﻿,0
93,94,I WILL NEVER FORGET THIS SONG IN MY LIFE LIKE THIS COMMENT OF YOUR HEARING THIS SONG FOR LIKE A YEAR!!!!!,1
938,939,Eminem is the greatest artist to ever touch the mic.﻿,0
68,69,"Hi -this is Johnny: 1. If You already know my music - thumb this up, because You found it this way, too. 2. If You want to hear original songs completely made by 1 person, continue reading:  I sing, write original music+lyrics &amp; play guitar, bass, drums &amp; keyboards. I&#39;m a 1-man-band. My music is completely independent &amp; 100% listener-supported. If You want to hear it &amp; if You&#39;re willing to help record new album - click on my name/picture.  Thank You &amp; enjoy the music - wish You awesome day!",1
1135,1136,"She named the tiger Kitty Purry  No, seriously, she did, check the video ﻿",0
284,285,Hey guys ready for more 87 Cyphers back check out my video on YouTube. NEW ALBUM IS OUT CHECK IT OUT. MORE MUSIC TOMORROW THANKS FOR READING,1
696,697,If you looking for new music to listen to check out cece song called  dead2me on iTunes music video out now right here on youtube.﻿,1
85,86,"Hello everyone :) I know most of you probably pass up these kind of comments, but for those who are still reading this, thanks! I don’t have any money for advertisements, no chance of getting heard, nothing. I live in such a small town... If this comes off as spam, sorry. I’m an instrumental songwriter from Columbus, Mississippi. Please go to my channel and check out my original music. It would be highly appreciated if you thumbs up this comment so my music can be heard! Thank you, Adam Whitney ",1
434,435,"Cool Video LMFAOVEVO! You should check out my shuffling videos on my channel when you get the chance. It&#39;s much appreciated. Cheers! <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23EveryDayImVaping"">#EveryDayImVaping</a> ;-)﻿",1
933,934,song is bad﻿,0
153,154,Being paid to respond to fast paid surveys from home has enabled me to give up working and make more than 4500 bucks monthly.  To read more go to this web site bit.ly\1bSefQe,1
75,76,"  Perhaps you have seen the newest Miley Cyrus SECRET video ?   She&#39;s sucking an old man&#39;s cock ,  If you wish to see her , check out the celebrity website beneath :   miley-secret-video.co.uk ",1
1296,1297,https://www.tsu.co/KodysMan plz ^^﻿,1
1298,1299,MEGAN FOX AND EMINEM TOGETHER IN A VIDEO  DOESNT GET BETTER THAN THAT﻿,0
789,790,"Enough with the whole ""how does this have two billion views if there's only  7 million on the planet"" we get it. You're joking. It's not funny anymore.﻿",0
580,581,like this comment if ur watching this on 2015 ﻿,1
446,447,http://minhateca.com.br/mauro-sp2013/Filmes+Series+Desenhos+Animes+Mp3+etc﻿,1
703,704,Take a look at this video on YouTube:﻿,1
188,189,"yo I know nobody will probably even read this..  But I’m gonna type it any way because i hope at least one person will  i&#39;m a rapper with a dream. I know there&#39;s like 200k of those in this world  but please check out my music and subscribe? if you want.? thanks,  I would love nothing more than to have a decent following on youtube..  if anyone? reading this could press the &quot;THUMBS UP&quot; other people will see it  just a simple button press? could make my dream come true =) Thank You",1
271,272,"Hi I&#39;m lil m !!! Check out love the way you lie!!!! My live performance and many others,,, videos and my own lyrics!!!!! Thanks",1
1093,1094,I lovee it ♥﻿,0
884,885,this song is better then monster by eminem﻿,0
236,237,Hey if you guys wouldnt mind...could you check out my boys and my music...we just made a real lyrical song...search DNA Andrew Guasch...I appreciate it. Leave some real feedback and keep Hip-Hop alive,1
487,488,This was such an epic track. And the video is awesome!﻿,0
1255,1256,like this comment please﻿,1
559,560,Check out this video on YouTube:﻿,1
117,118,so beutiful,0
637,638,Subscribe﻿,1
1169,1170,In my opinion I think you look better with black hair then blond hair : )﻿,0
801,802,my son love so much﻿,0
750,751,this is increidebl﻿,0
512,513,This song is so AWESOME!!!She made everything stand out and all the viewers  could imagine themselves at the setting of the video. Awesome Job Katy  Perry!!!!﻿,0
633,634,How can this music video get 2 billion views while im the only one watching  here on earth?????? lol﻿,0
921,922,Love the way you lie II is nicer in my opinion. :D﻿,0
1103,1104,Check out this video on YouTube:﻿,1
907,908,"WE GO FOR 1,000,000,000 FOR EMINEM﻿",0
1004,1005,In the beginning she was scared off everything and next thing you know she  is out in a leopard bikini!﻿,0
126,127,"Hey Music Fans I really appreciate any of you who will take the time to read this, and check my music out! I&#39;m just a 15 year old boy DREAMING of being a successful MUSICIAN in the music world. I do lots of covers, and piano covers. But I don&#39;t have money to advertise. A simple thumbs up to my comment, a comment on my videos or a SUBSCRIPTION would be a step forward! It will only be a few seconds of your life that you won&#39;t regret!!! Thank u to all the people who just give me a chance! :) ",1
790,791,"no where near one of eminems actual best songs, real fans know what im talking about: Untitled, cold wind blows, welcome 2 hell, elevator, business, wtp, almost famous, 25 to life, rock bottom, no apologies, same song and dance, without me, way i am, toy soldiers, mosh and insane &lt; songs off the top of my head that&#39;s better﻿",0
829,830,please look up DHG SONGS this is my playlist with a bunch of amazing songs ﻿,1
116,117,"Stop Wasting Up Your Time and  Get Paid To Mess Around On Facebook And Twitter!  GET PAID UPTO $25 to $35 AN HOUR... Only at 4NetJobs.com  Work from the Comfort of your Home... We are Currently Hiring People from all Over the World,  For a Wide Range of Social Media Jobs on Sites such as Facebook,Twitter and YouTube.  You don&#39;t Need any Prior Skills or Experience and You can Begin Work Immediately!  You Can Easily Make $4000 to $5000+ Monthly Income…Only at 4NetJobs.com",1
473,474,"I love katy fashions tiger, care to visit my blog sinar jahitan  I also have the tiger collections tqvm﻿",1
740,741,OMG 2/7 People watched this video because there are 7 billion people in the  world and 2 billion watched this﻿,0
1098,1099,Who else saw jesses dancing sorry if I spelled it wrong  peace✌﻿,0
57,58,How did you know that people makes another account just for subscribing itself and liking??? :),1
603,604,http://www.ermail.pl/dolacz/UnNfY2I=                  Please click on the  link﻿,1
786,787,"Check out Melbourne shuffle, everybody!﻿",1
830,831,Eminem best rapper all the time﻿,0
119,120,awesome,0
656,657,https://www.reverbnation.com/slicknick313/songs﻿,1
1297,1298,Sign up for free on TSU and start making money on social media add/follow  me and ill add follow you!! http://tsu.co/Roberts9010﻿,1
669,670,Eminem rocks!﻿,0
105,106,"Part 5. Comforter of the afflicted, pray for us Help of Christians, pray for us Queen of Angels, pray for us Queen of Patriarchs, pray for us Queen of Prophets, pray for us Queen of Apostles, pray for us Queen of Martyrs, pray for us Queen of Confessors, pray for us Queen of Virgins, pray for us Queen of all Saints, pray for us Queen conceived without original sin, pray for us Queen of the most holy Rosary, pray for us Queen of the family, pray for us Queen of peace, pray for us ",1
635,636,Love this song so much! One of my faves! Xxx﻿,0
369,370,Discover a beautiful song of A young Moroccan     http://www.linkbucks.com/AcN2g﻿,1
268,269,if u love rihanna subscribe me,1
655,656,Check out this video on YouTube:﻿,1
819,820,CUTE  :)﻿,0
935,936,"Aye homies check out our remix to 50 Cent Your Life Is On The Line we just started our youtube channel and we are all ways working hard, give us some feed back on our latest song on what you guys think if you like show support.﻿",1
822,823,plese subscribe to me﻿,1
1232,1233,need money?Enjoy https://www.tsu.co/emerson_zanol﻿,1
46,47,Shakira u are so wiredo,0
349,350,I like how the robot shuffles he shuffles good﻿,0
1122,1123,5 years ago damn ﻿,0
876,877,Great video by a great artist in Katy Perry! Admire her creativity! Check  out our channel for no nonsense mobile tech reviews and comparisons as well  as an iPhone 6 and 6 Plus review and comparison!﻿,1
773,774,Love😘❤💖﻿,0
195,196, HI IM 14 YEAR RAPPER SUPPORT ME GUY AND CHECK OUT MY CHANNEL AND CHECK OUT MY SONG YOU MIGHT LIKE IT ALSO FOLLOW ME IN TWITTER @McAshim for follow back.,1
102,103,like!!!!!,0
4,5,:D subscribe to me for daily vines,1
619,620,"This is the only video on youtube that get so much views just because we  want to see how much views it has. 1.000.000 every day, I mean, Most people  think a video is popular when it actually gets 1.000.000 views.﻿",0
571,572,want to win borderlands the pre-sequel? check my channel :)﻿,1
52,53,"Still amazing this song!! I did a French Kpop Parody. Please come on my Channel to watch it. Share, suscribe, comment Thanks",1
263,264,Check out my channel im 15 year old rapper!,1
1185,1186,Check out this video on YouTube: I ﻿,1
443,444,Check out this video on YouTube:lo﻿,1
1083,1084,Its 2015 and still shuffling to this song🎶🎵🎧﻿,0
782,783,like if ur watchin in 90000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                                                              1﻿,1
837,838,it is wonderful﻿,0
998,999,Katy Perry - Roar (Official): http://youtu.be/CevxZvSJLk8﻿,0
691,692,I hav absolutely no idea what he's saying. Is it even a language?﻿,0
304,305,"You guys should check out this EXTRAORDINARY website called ZONEPA.COM . You can make money online and start working from home today as I am! I am making over $3,000+ per month at ZONEPA.COM ! Visit Zonepa.com and check it out! How does the mammoth waste achieve the shock? How does the limit reduce the delicate minute? How does the meaty scale adapt the oil?",1
341,342,Check out this video on YouTube:﻿,1
1023,1024,"NEW GOAL!   3,000,000!  Let's go for it!﻿",0
313,314,SUBSCRIBE TO ME! I MAKE MUSIC!,1
149,150,"Hello everyone :) I know most of you probably pass up these kind of comments, but for those who are still reading this, thanks! I don’t have any money for advertisements, no chance of getting heard, nothing... If this comes off as spam, sorry. I am a video animator, just trying to make it up into the video animation industry. Please give me the chance to prove myself to you. Please visit my channel, subscribe if you like and thumb this comment up, so everyone can see! Thank You! ",1
124,125,Check out my covers please!,1
1261,1262,Lemme Top Comments Please!!﻿,0
574,575,Waka best one﻿,0
697,698,My telephone!﻿,0
664,665,http://vimeo.com/106865403﻿,1
50,51,"Hey youtubers... I really appreciate all of you who took the time, to read this, I am just a 19 year old boy who wants to be a successful musician in the music world. I dont have any money to advertise my channel, If you could just visit my channel, comment on my video or subscribe, that would be great.... It will only be few seconds of your life..... Thank u to all the people who just gave me a chance l really appreciate it  ",1
1015,1016,Party in da 🏠 tonight 👐👐👐👐👐👐﻿,0
958,959,I remember that torunament like it was today.﻿,0
726,727,"This song is just insane.<br />Do you dance listening to this song?( i do, lol)﻿",0
799,800,If interested in making extra money by internet use the next link www.swagbucks.com/refer/Nonturtle02﻿,1
833,834,The first comment is chuck norrus ovbiously :D﻿,0
353,354,Add me here...https://www.facebook.com/TLouXmusic﻿,1
1248,1249,this song sucks﻿,0
142,143,"Subscribe me, I will? subscribe you back!!!",1
470,471,Check out this playlist on YouTube:﻿,1
882,883,omg﻿,0
971,972,so many comments.﻿,0
653,654,katy is beautiful. and this song is catchy. I'm a rapper with 25000  subscribers.. thumbs up if you hate when you take a shit and the water  splashes your balls﻿,1
399,400,I love song ﻿,0
511,512,:3﻿,0
1245,1246,Check out this playlist on YouTube:﻿,1
320,321,"You guys should check out this EXTRAORDINARY website called MONEYGQ.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at MONEYGQ.COM !   Visit MONEYGQ.COM and check it out!   Lake   . Waratel . Misty . Exciting . Swoquix . Acaer . Chillpal . Tupacase . Arrowgance . Lively . Hard . Idiotic . Bored . Cool . Ablaze . Crabby . Aloidia . Cheilith . Feandra . Useless . Ploosnar",1
19,20,"Could you please check out my covers on my channel? I do covers like Adele, Kodaline, Imagine Dragons...and more. Please if you could spare a few minutes,  could you have a listen to one or two of my covers , Feel free to comment and subscribe :) Thank you! ",1
684,685,....subscribe......  ......to my........  .....channel.......﻿,1
35,36,Hi. Check out and share our songs.,1
824,825,she is beautiful but it is not American!﻿,0
902,903,is that Megan fox﻿,0
505,506,Nice vídeo shakira good﻿,0
827,828,"Please help me give my son a grave.  http://www.gofundme.com/BishopsGraveMarker Or please just share it on your  fb page, I do not have one anymore.﻿",1
1163,1164,is that megan fox x:D?﻿,0
407,408,EHI GUYS CAN YOU SUBSCRIBE IN MY CHANNEL? I AM A NEW YOUTUBER AND I PLAY  MINECRAFT THANKS GUYS!... SUBSCRIBE!﻿,1
920,921,Check out this video on YouTube:﻿,1
817,818,I  love you Eminem﻿,0
866,867,Check out this video on YouTube:﻿,1
537,538,The best Song i saw ❤️❤️❤️❤️❤️❤️❤️❤️😍😍😍😍😍😍😍😘😘😘😘😘😘😘😘﻿,0
758,759,great song you go katy!﻿,0
1160,1161,I hate videos like these with those poor animals.﻿,0
1040,1041,she is megan fox?because she is very similar﻿,0
38,39,Check out my channel :),1
175,176,"You guys should check out this EXTRAORDINARY website called ZONEPA.COM . You can make money online and start working from home today as I am! I am making over $3,000+ per month at ZONEPA.COM ! Visit Zonepa.com and check it out! How does the mother approve the axiomatic insurance? The fear appoints the roll. When does the space prepare the historical shame?",1
245,246,"You guys should check out this EXTRAORDINARY website called MONEYGQ.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at MONEYGQ.COM !   Visit MONEYGQ.COM and check it out!  The metal drews the reflective effect. Why does the expansion intervene the hilarious bit? The sneeze witnesss the smoke.",1
810,811,Just gonna stand there and hear me cry ..﻿,0
1177,1178,Wow she is sexy XD﻿,0
1107,1108,I really like this song.﻿,0
1080,1081,"I don&#39;t understand this song, I have had the passion for women feel like im losing my mind but i don&#39;t understand the ideas of loving the the way someone lies.....﻿",0
784,785,share your thoughts﻿,1
985,986,lol so funny love it﻿,0
1282,1283,i love you katy perry because you will sing nice than shakira﻿,0
489,490,"Like this comment, guys i just started up a new channel if i can get 200 subscribers by tonight ill do a $20 paypal giveaway like this comment so your friends can see it or others and they can also be entered GO !!!﻿",1
154,155,WOW muslims are really egoistic..... 23% of the World population and not in this video or donating 1 dollar to the poor ones in Africa :( shame on those terrorist muslims,1
638,639,i am a big fan of you and i love you﻿,0
961,962,Hey guys! Check this out: Kollektivet - Don't be slappin' my penis!  I  think that they deserve much more credit than they receive.﻿,1
662,663,plz subscribe to my channel i need subs and if you do i will sub back i  need help﻿,1
853,854,+447935454150 lovely girl talk to me xxx﻿,1
942,943,https://www.facebook.com/pages/Mathster-WP/1495323920744243?ref=hl﻿,1
287,288,"You guys should check out this EXTRAORDINARY website called ZONEPA.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at ZONEPA.COM !   Visit Zonepa.com and check it out!  The jelly activates the reflective distribution. The normal top synthesizes the opinion. The victorious plant entertains the language.",1
625,626,Katty perry please say in one of your new videoes that they follow the  Girls Girls please﻿,1
1222,1223,How old is Katy perry?﻿,0
685,686,"The funny thing is, 1,700,000,000 of the views are spam bots. I mean c'mon  2 BILLION views? BS!﻿",0
1140,1141,best song in world﻿,0
322,323,"this is the 4th most watched video on youtube. and hes the 21 most subscribed channel on youtube, just recentley surpassing justing bieber and is less then 1,00 subs away from beating taylor swift",1
569,570,subscribers please`﻿,1
1239,1240,look at my channel i make minecraft pe lets play ﻿,1
17,18,"Hello everyone, It Is not my intention to spam and am truly sorry If anyone Is annoyed by this but just please hear me out.  I am a rapper, singer, music producer and a song writer and have been making music for a while now, eight years to be exact.  I enjoy making all types of music that anyone can listen to, doesn&#39;t have me talking about killing anyone and most importantly, focuses on the quality of the music.  Please check out my page, It&#39;s only a click away.  Thank you and have a nice day :)",1
127,128,Shakira :-*,0
927,928,:)﻿,0
980,981,why I dont see any comments but mine?:/﻿,0
1275,1276,5th most viewed video.. i guess﻿,0
190,191,"GUYS SHARE THIS VIDEO!!!!!  HE must have 1.000.000.000 views  Share on Facebook, groups, pages!!",1
992,993,Check out my music niggas﻿,1
1269,1270,"THIS HAS MORE VIEWS THAN QUEEN AND MICHAEL JACKSON, 2 BILLION views omg﻿",0
606,607,hey guys im 17 years old remixer and producer and i want you guys to help me checking my videos i am sure you will love those music if you love them then subscribe so you will know more about me:)﻿,1
180,181,"You guys should check out this EXTRAORDINARY website called FIREPA.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at FIREPA.COM !   Visit FIREPA.COM and check it out!   Lake   . Chillpal . Sturdy . Astauand . Johackle . Chorenn . Ethosien . Changeable . Public . Noxu . Ploosnar . Looplab . Hoppler . Delicious . False . Scitenoa . Locobot . Heartbreaking . Thirsty . Reminiscent",1
301,302,adam b beats check out my page 2013,1
496,497,Take a break from Katie and help me reach 100 subscribers this month!  New  music and free downloads! ﻿,1
1288,1289,Check out this video on YouTube<br /><br /><br />﻿,1
1077,1078,More views than nikki minaj Anaconda﻿,0
517,518,Glad to know im not the only one who knows its katheryn's birthday today :)  happy birthday katy...and my sister. (they seriously have the same  birthday...)﻿,0
476,477,and u should.d check my channel and tell me what I should do next!﻿,1
157,158, plz i wilsubscribe me frndzzl subscribe u back,1
16,17,**CHECK OUT MY NEW MIXTAPE**** **CHECK OUT MY NEW MIXTAPE**** **CHECK OUT MY NEW MIXTAPE*** ***CHECK OUT MY NEW MIXTAPE******CHECK OUT MY NEW MIXTAPE**** **CHECK OUT MY NEW MIXTAPE**** **CHECK OUT MY NEW MIXTAPE*** ***CHECK OUT MY NEW MIXTAPE******CHECK OUT MY NEW MIXTAPE**** **CHECK OUT MY NEW MIXTAPE**** **CHECK OUT MY NEW MIXTAPE*** ***CHECK OUT MY NEW MIXTAPE******CHECK OUT MY NEW MIXTAPE**** **CHECK OUT MY NEW MIXTAPE**** **CHECK OUT MY NEW MIXTAPE*** ***CHECK OUT MY NEW MIXTAPE****,1
546,547,Please subscribe to my channel!Thanks!﻿,1
658,659,Nice love itttttttt wurkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk﻿,0
1067,1068,old and good song﻿,0
1019,1020,subscribe to itz recaps and above diddle﻿,1
1091,1092,Whose who are watching this in 2015.  LIKE!﻿,0
959,960,"Check out our vids, our songs are awesome! And that I guarantee :)﻿",1
1224,1225,Very Nice !!!<br />Yeah Fucking.﻿,0
283,284,"You guys should check out this EXTRAORDINARY website called MONEYGQ.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at MONEYGQ.COM !   Visit MONEYGQ.COM and check it out!  When does the flimsy slip facilitate the manager? How does the noise set goals the anxious regret? How does the actually loss retrieve the smile?",1
797,798,Yo like what up this song is fricking beast anywon herd the see mee rollin or I woke up in a new Buggti check out nuketown rap I was shooting in it see my nice quick scoping things training for faze adoult freind sang I was at my freinds house doing it we just had the rap going and we were doing fun things ﻿,1
225,226,"Hello to everyone! Please check out my video: /watch?v=2b4WyWpHi8c It takes just 2 minutes, hope I don&#39;t ask too much. If you can&#39;t help me just Like &amp; Share the video please, so more people will see it. Thumbs UP, it would mean so much to me, maybe will make my dream come true. Thanks to everyone, GOD BLESS YOU ALL!",1
26,27,the best!,0
437,438,Please give us a chance and check out the new music video on our channel!  You won't be disappointed.﻿,1
1263,1264,I don't now why I'm watching this in 2014﻿,0
229,230,Check out Berzerk video on my channel ! :D,1
37,38,subscribe  my,1
749,750,Like this comment if you are watching on a phone﻿,1
1045,1046,What Can i say....This Song He Just Change The World Completely... So good job PSY... (and your girls are awesome :))) )﻿,0
469,470,The Guy in the yellow suit kinda looks like Jae-suk ﻿,0
1112,1113,Nice﻿,0
1277,1278,Check out this video on YouTube:﻿,1
687,688,PSY - GANGNAM STYLE (강남스타일) M/V: http://youtu.be/9bZkp7q19f0﻿,0
1194,1195,You best singer﻿,0
639,640,"I hear this all the time on radio and its really irritating. That being  said, i like the video﻿",0
1299,1300,Great.This is a song﻿,0
1087,1088,Check out this video on YouTube:      <br />﻿,1
1281,1282,"How is this the most watched Eminem video, it beats not afraid? ﻿",0
800,801,"Don&#39;t love someone soo much, love the way u lie..﻿",0
160,161,subscribe now!!!!!! love the song!!!!!! love football!!!,1
956,957,Check out this video on YouTube:﻿,1
821,822,I like this song very much﻿,0
1105,1106,Never gets old best song ever  ❤﻿,0
877,878,Check out this playlist on YouTube:י<br /><br /><br /><br />⛺🏤⛺⛺﻿,1
913,914,Youtube comments be like<br />This is so 5 years ago. ﻿,0
152,153,"O peoples of the earth, I have seen how you perform every form of evil at your leisure! You cease not from reveling in that which I hate! Behold, you murder the innocent day and night and plot evil against your neighbor! You stand up for the rights of those who commit abomination and clap your hands as wickedness is celebrated openly in the streets!... O MOST PERVERSE AND ABOMINABLE GENERATION, SHALL I NOT REPAY?!  Hear the Word of The Lord - TrumpetCallOfGodOnline.  co m",1
1189,1190,Awesome video this is one of my favorite  songs😀😀😀😀😀😀😀❤️❤️❤️❤️❤️❤️❤️❤️💎💎💎💎💎💄💄💄💄💋💋💋💋﻿,0
509,510,"2,000,000,000 out of 7,000,000,000 people in the would saw this video just  in 2 years and yeat i only get 2 words out of the hole song﻿",0
1092,1093,http://www.ermail.pl/dolacz/V3VeYGIN CLICK  http://www.ermail.pl/dolacz/V3VeYGIN  http://www.ermail.pl/dolacz/V3VeYGIN  http://www.ermail.pl/dolacz/V3VeYGIN  http://www.ermail.pl/dolacz/V3VeYGIN  http://www.ermail.pl/dolacz/V3VeYGIN  http://www.ermail.pl/dolacz/V3VeYGIN﻿,1
103,104,Love itt and ppl check out my channel!!!,1
586,587,Wow...5 years<br />﻿,0
1211,1212,Laughing My Fucking Ass Off!!!﻿,0
53,54,good!!,0
151,152,I love this!!!!! This is one of my fave songs now and I just subscribed :) :) :),1
403,404,this has so many views﻿,0
207,208,subscribe to my channel who can,1
1230,1231,"Lol...I dunno how this joke gets a lot of likes, but whatever. xD﻿",0
8,9,This makes me miss the world cup,0
1014,1015,Check out this video on YouTube:﻿,1
1060,1061,"if you want to win money at hopme click here <a href=""https://www.paidverts.com/ref/sihaam01"">https://www.paidverts.com/ref/sihaam01</a> it&#39;s work 100/100﻿",1
452,453,Check out this video on YouTube:﻿,1
253,254,RIHANNA - POUR IT UP (VINCENT T. REMIX) RIHANNA - POUR IT UP (VINCENT T. REMIX) RIHANNA - POUR IT UP (VINCENT T. REMIX) RIHANNA - POUR IT UP (VINCENT T. REMIX) RIHANNA - POUR IT UP (VINCENT T. REMIX) RIHANNA - POUR IT UP (VINCENT T. REMIX) RIHANNA - POUR IT UP (VINCENT T. REMIX) RIHANNA - POUR IT UP (VINCENT T. REMIX) RIHANNA - POUR IT UP (VINCENT T. REMIX)  CLICK! SUBSCRIBE!,1
896,897,I like this song<br />﻿,0
1137,1138,Suscribe My Channel Please XD lol﻿,1
880,881,give it a like﻿,1
1228,1229,Check out this video on YouTube:﻿,1
623,624,The most liked video on YouTube...﻿,0
345,346,I really love this video.. http://www.bubblews.com/account/389088-sheilcen﻿,1
1118,1119,eminem is a ginius stop!﻿,0
262,263,Do you need more instagram followers or photo likes? Check out IGBlast.com and get em in minutes!,1
150,151,"I want to see Shakira, not football :)",0
472,473,Since when has Katy Perry had her own YouTube channel?﻿,0
640,641,I love  Shakira !!!!!! ❤🎵🎶🎼🎸﻿,0
1287,1288,I lover this song,0
1225,1226,i love u  shakira﻿,0
550,551,ALL SCHOOL DROP OUTS I KNEW AS FRIENDS BEFORE THEY DECIDED TO DROP SCHOOL THINK THERE IS NO NEED FOR AN ID CARD OR A CERTIFICATION TO PROVE YOU ARE AN EDUCATED CLEAN IN CRIMINAL RECORD TALENTED PERSON TO WORK IN ANY ENTERTAINMENT FIELD WORLDWIDE. THEY THINK THEY COULD BE RICH ENTERTAINERS BY CONSOLIDATING WITH ACTORS / ACTRESSES AS WELL AS SINGERS FOR A SHARE OF PROFIT(S).﻿,1
928,929,Check out this video on YouTube:..🌈🌈🌈﻿,1
488,489,If she really did this there she's hardcore﻿,0
1173,1174,This song is so beauty,0
146,147,I really ask nicely to view my vids:) I subscribe back..,1
402,403,love!!!!﻿,0
